index	status	input	source	line	column	returncode	seconds	message
0	PASS	init/main.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v9/linux-6.6.143/init/main.c			0	3.445	
1	FAIL	init/version.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v9/linux-6.6.143/init/version.c	20739	368	1	0.146	integer initializer type mismatch
2	FAIL	init/do_mounts.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v9/linux-6.6.143/init/do_mounts.c	85095	53	1	3.394	conditional expression branches have incompatible types
3	FAIL	init/do_mounts_initrd.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v9/linux-6.6.143/init/do_mounts_initrd.c	62265	27	1	1.714	unsupported external object definition
4	FAIL	init/initramfs.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v9/linux-6.6.143/init/initramfs.c	59102	29	1	1.623	expected expression
5	PASS	init/calibrate.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v9/linux-6.6.143/init/calibrate.c			0	0.214	
6	FAIL	init/init_task.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v9/linux-6.6.143/init/init_task.c	63193	18	1	1.792	backward static record designator currently requires a direct scalar field
7	PASS	arch/riscv/kernel/pi/cmdline_early.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v9/linux-6.6.143/arch/riscv/kernel/pi/cmdline_early.c			0	0.484	
8	PASS	arch/riscv/kernel/pi/fdt_early.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v9/linux-6.6.143/arch/riscv/kernel/pi/fdt_early.c			0	0.017	
9	PASS	arch/riscv/kernel/pi/string.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v9/linux-6.6.143/lib/string.c			0	0.413	
10	PASS	arch/riscv/kernel/pi/ctype.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v9/linux-6.6.143/lib/ctype.c			0	0.003	
11	PASS	arch/riscv/kernel/pi/lib-fdt.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v9/linux-6.6.143/lib/fdt.c			0	0.019	
12	PASS	arch/riscv/kernel/pi/lib-fdt_ro.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v9/linux-6.6.143/lib/fdt_ro.c			0	0.022	
13	PASS	arch/riscv/kernel/soc.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v9/linux-6.6.143/arch/riscv/kernel/soc.c			0	0.604	
14	PASS	arch/riscv/kernel/alternative.i	/home/runner/work/minic-toolchain/minic-toolchain/build/linux-main-first100-finalization-v9/linux-6.6.143/arch/riscv/kernel/alternative.c			0	1.277	
